,LoanOriginalAmount,LoanOriginalAmount,LoanOriginalAmount,LoanOriginalAmount,LoanOriginalAmount,LoanOriginalAmount,LoanOriginalAmount,LoanOriginalAmount,LoanOriginalAmount
year,2006,2007,2008,2009,2010,2011,2012,2013,2014
BorrowerState,,,,,,,,,
AK,5000.0,91800.0,107574.0,12000.0,49700.0,170700.0,278447.0,710500.0,436640.0
AL,347427.0,1312161.0,843362.0,100920.0,375764.0,932236.0,2197082.0,4789856.0,1787642.0
AR,7000.0,27600.0,293150.0,75800.0,151522.0,560015.0,1128683.0,2997453.0,1339625.0
AZ,342475.0,1572793.0,1745357.0,110067.0,431071.0,857195.0,2326308.0,5621513.0,2580958.0
CA,2898995.0,14176618.0,11671928.0,1268231.0,3556800.0,9107971.0,19355947.0,49978473.0,20060190.0
CO,321300.0,1421582.0,1422422.0,283838.0,552280.0,1559369.0,3070110.0,7337806.0,3034693.0
CT,30800.0,168159.0,581124.0,207450.0,444249.0,1236129.0,2727822.0,6940607.0,2517600.0
DC,,,371099.0,83500.0,102600.0,466077.0,881574.0,1390315.0,572872.0
DE,5000.0,25575.0,153799.0,20500.0,80600.0,238450.0,484442.0,1075000.0,568810.0
FL,814478.0,3035290.0,4977954.0,579820.0,1602445.0,5459903.0,10036414.0,20544291.0,8103540.0
GA,1441680.0,5683178.0,4604571.0,628843.0,1290855.0,3439605.0,6622327.0,12851830.0,5318325.0
HI,24950.0,196700.0,262204.0,22500.0,41100.0,263205.0,567400.0,1723680.0,639700.0
IA,51001.0,473827.0,517129.0,,,,,,
ID,89650.0,455742.0,558203.0,67950.0,189299.0,316639.0,539600.0,1556879.0,733800.0
IL,730202.0,4765101.0,4612309.0,580232.0,1533279.0,4590740.0,7637371.0,18509050.0,6754023.0
IN,302634.0,1029175.0,1206851.0,182549.0,605474.0,1504443.0,3084095.0,6435317.0,2414900.0
KS,90330.0,445050.0,593583.0,14000.0,216249.0,656497.0,1502873.0,3779234.0,1533985.0
KY,2000.0,271707.0,442687.0,32000.0,213434.0,638390.0,1874384.0,3622258.0,1303258.0
LA,93050.0,282414.0,246449.0,51476.0,246125.0,659681.0,1735652.0,3457162.0,1405256.0
MA,386923.0,1394336.0,1360315.0,139251.0,611615.0,1403286.0,3512872.0,8839555.0,3684101.0
MD,276630.0,2627900.0,2328557.0,241479.0,831652.0,2043844.0,4343005.0,9544832.0,3856324.0
ME,27150.0,149900.0,312758.0,,,,,,
MI,488062.0,2691368.0,2170424.0,207399.0,785995.0,1942976.0,4718311.0,10261213.0,4203482.0
MN,5600.0,1449282.0,2350638.0,247050.0,491350.0,1399019.0,2928502.0,6587417.0,2781834.0
MO,535150.0,1834812.0,1698222.0,222297.0,670379.0,1718338.0,2959783.0,6503683.0,2482484.0
MS,17750.0,165950.0,377289.0,36680.0,181100.0,606673.0,1123985.0,2865027.0,1130656.0
MT,51900.0,278934.0,239950.0,7685.0,51250.0,190986.0,332473.0,926700.0,289792.0
NC,358900.0,1331828.0,1996385.0,289810.0,964490.0,2377336.0,4762351.0,8727953.0,3849435.0
ND,31900.0,91360.0,91950.0,,,,,,
NE,19200.0,264300.0,316841.0,57350.0,127750.0,447636.0,858133.0,2282525.0,1123892.0
NH,127108.0,490359.0,438127.0,18715.0,87900.0,343361.0,804132.0,1994833.0,909600.0
NJ,195125.0,903499.0,1280297.0,184250.0,767773.0,2320012.0,4976516.0,13655132.0,5228769.0
NM,81857.0,438992.0,291662.0,22250.0,93850.0,322704.0,507400.0,1497899.0,866075.0
NV,,,372300.0,52075.0,263785.0,728983.0,1402273.0,4930314.0,1838216.0
NY,626389.0,2032832.0,2816704.0,454113.0,1646857.0,4947712.0,11129172.0,25978132.0,9805577.0
OH,14863.0,2103278.0,2684222.0,226988.0,979288.0,2787743.0,5724785.0,13647464.0,5735817.0
OK,87904.0,633774.0,527739.0,80801.0,232750.0,554293.0,1367661.0,2911553.0,1339394.0
OR,384144.0,1794180.0,1329821.0,192120.0,430300.0,979222.0,2175621.0,4784335.0,1578821.0
PA,30100.0,6000.0,1423868.0,241000.0,646360.0,2236237.0,4444542.0,11339680.0,4659771.0
RI,,,94871.0,24500.0,121500.0,377964.0,642921.0,1858642.0,687065.0
SC,13800.0,127825.0,541582.0,99757.0,379083.0,905459.0,1842448.0,4111419.0,1414662.0
SD,,,,9500.0,51500.0,206650.0,318785.0,601200.0,266629.0
TN,37300.0,76000.0,856595.0,121800.0,610785.0,1638637.0,2971738.0,5484716.0,2298304.0
TX,1848019.0,3755086.0,1243434.0,503897.0,1638557.0,4726986.0,9476702.0,27773163.0,11213244.0
UT,199426.0,1208009.0,869304.0,87850.0,257700.0,477915.0,743300.0,2097500.0,932950.0
VA,175067.0,690189.0,2159779.0,293497.0,1117591.0,3034087.0,5267099.0,11929091.0,4741972.0
VT,,50500.0,103100.0,14500.0,28100.0,91600.0,283938.0,804900.0,321858.0
WA,440247.0,2249643.0,2600545.0,318756.0,699980.0,1865512.0,3946381.0,8419276.0,3566900.0
WI,167150.0,615759.0,989926.0,146350.0,393550.0,1446214.0,2806346.0,6501753.0,2445126.0
WV,38650.0,120850.0,218790.0,43250.0,64200.0,283683.0,586982.0,1388761.0,431969.0
WY,10250.0,59450.0,70174.0,7750.0,30650.0,75700.0,166428.0,600386.0,205000.0
